id,nom_personne,operateur_telephonique,forfait_abonnement
ABN00000221,Lisa Jones,Orange France,Orange 5G Unlimited
ABN00000222,Alexandre Benjelloun,Orange Maroc,Orange Pro
ABN00000223,Léa Lazrak,Orange France,Orange 5G 100 Go
ABN00000224,Aïcha Lefebvre,Vodafone,Vodafone Unlimited
ABN00000225,Fatima Filali,Vodafone,Vodafone Unlimited
ABN00000226,Youssef Benjelloun,Free Mobile,Free 5G
ABN00000227,Pierre Dubois,Maroc Telecom,Forfait Entreprise
ABN00000228,Nora Alaoui,Free Mobile,Free 2€
ABN00000229,Ali Brown,Inwi,Inwi 30 Go
ABN00000230,Aïcha Bennani,SFR,SFR 80 Go
ABN00000231,Salma Benali,Vodafone,Vodafone Unlimited
ABN00000232,Julie Alaoui,SFR,SFR 80 Go
ABN00000233,Jean Ouazzani,Vodafone,Vodafone Unlimited
ABN00000234,Michael Lefebvre,Maroc Telecom,Jawal 50 Go
ABN00000235,Leila Lazrak,T-Mobile,Magenta Max
ABN00000236,Nora Williams,Inwi,Inwi 30 Go
ABN00000237,Lisa Robert,Vodafone,Vodafone Red
ABN00000238,James El Fassi,Inwi,Inwi 30 Go
ABN00000239,James Tazi,Inwi,Inwi Unlimited
ABN00000240,Leila Leroy,Orange France,Orange 5G 100 Go
ABN00000241,David Martin,Vodafone,Vodafone Unlimited
ABN00000242,Robert Davis,Inwi,Inwi 30 Go
ABN00000243,Ashley Smith,Bouygues Telecom,B&YOU 100 Go
ABN00000244,Mehdi Smith,T-Mobile,Magenta
ABN00000245,John Benali,SFR,SFR Power
ABN00000246,Lisa Miller,Inwi,Inwi 60 Go
ABN00000247,Aïcha El Amrani,Bouygues Telecom,B&YOU 100 Go
ABN00000248,Zineb Filali,Maroc Telecom,Forfait Entreprise
ABN00000249,Chloé Miller,Orange France,Orange 5G 100 Go
ABN00000250,Ashley Smith,SFR,SFR 80 Go
ABN00000251,John Idrissi,Free Mobile,Free 5G
ABN00000252,Salma Tazi,Maroc Telecom,Jawal 100 Go
ABN00000253,Ashley Berrada,Orange France,Orange 5G 100 Go
ABN00000254,Camille Filali,Vodafone,Vodafone Red
ABN00000255,Nicolas Idrissi,Orange Maroc,Orange Max
ABN00000256,Alexandre Brown,Orange France,Orange 5G Unlimited
ABN00000257,Thomas Tazi,Orange France,Orange 5G 100 Go
ABN00000258,Salma Davis,Free Mobile,Free 5G
ABN00000259,Zineb Richard,Vodafone,Vodafone Unlimited
ABN00000260,Marie Durand,Maroc Telecom,Jawal Illimité
ABN00000261,Lisa Chraibi,Orange France,Orange 5G Unlimited
ABN00000262,Khadija Tazi,Vodafone,Vodafone Red
ABN00000263,Zineb Simon,T-Mobile,Magenta Max
ABN00000264,Nicolas El Fassi,Vodafone,Vodafone Red
ABN00000265,Sophie Lazrak,Bouygues Telecom,B&YOU 100 Go
ABN00000266,James Thomas,Orange France,Orange 5G Unlimited
ABN00000267,Laurent Alaoui,Free Mobile,Free 2€
ABN00000268,Lisa Filali,SFR,SFR 80 Go
ABN00000269,Omar Ouazzani,Orange France,Orange 5G 100 Go
ABN00000270,Emma Williams,Orange France,Orange 5G 100 Go
ABN00000271,Emma Lazrak,Free Mobile,Free 5G
ABN00000272,Hassan Martin,Orange Maroc,Orange Max
ABN00000273,Jean Petit,T-Mobile,Magenta
ABN00000274,Aïcha Petit,Maroc Telecom,Jawal 50 Go
ABN00000275,Nicolas Robert,Orange Maroc,Orange 40 Go
ABN00000276,Hassan Dupont,Orange France,Orange 5G 100 Go
ABN00000277,Julie Robert,Vodafone,Vodafone Red
ABN00000278,Hassan Alaoui,Bouygues Telecom,B&YOU 100 Go
ABN00000279,Pierre Garcia,Maroc Telecom,Jawal 50 Go
ABN00000280,Nicolas Lefebvre,Vodafone,Vodafone Red
ABN00000281,Marie Alaoui,Inwi,Inwi Unlimited
ABN00000282,Fatima Simon,Maroc Telecom,Jawal 100 Go
ABN00000283,Chloé Garcia,Inwi,Inwi Unlimited
ABN00000284,Khadija Alaoui,Vodafone,Vodafone Red
ABN00000285,Robert El Amrani,Inwi,Inwi 60 Go
ABN00000286,Emily Smith,Bouygues Telecom,B&YOU 100 Go
ABN00000287,Léa Garcia,Orange Maroc,Orange Max
ABN00000288,Nicolas Fassi,Maroc Telecom,Jawal 50 Go
ABN00000289,Ahmed Petit,Bouygues Telecom,B&YOU 100 Go
ABN00000290,Zineb Jones,Inwi,Inwi Unlimited
ABN00000291,John Simon,Vodafone,Vodafone Unlimited
ABN00000292,Michael Garcia,Vodafone,Vodafone Unlimited
ABN00000293,Sarah Kettani,Orange France,Orange 5G Unlimited
ABN00000294,James Thomas,Bouygues Telecom,Sensation
ABN00000295,Marie Sefrioui,Bouygues Telecom,B&YOU 100 Go
ABN00000296,Laurent Thomas,Inwi,Inwi 30 Go
ABN00000297,Pierre Brown,Orange Maroc,Orange 80 Go
ABN00000298,Mohammed Tazi,Orange France,Orange 5G 100 Go
ABN00000299,Fatima El Amrani,Bouygues Telecom,B&YOU 100 Go
ABN00000300,Nora Dubois,SFR,SFR 80 Go
ABN00000301,Ashley Lefebvre,T-Mobile,Magenta Max
ABN00000302,Michael Robert,Vodafone,Vodafone Red
ABN00000303,Salma Lefebvre,Vodafone,Vodafone Red
ABN00000304,Laurent Garcia,Maroc Telecom,Jawal 100 Go
ABN00000305,Jean El Fassi,T-Mobile,Magenta Max
ABN00000306,Fatima Durand,Bouygues Telecom,B&YOU 100 Go
ABN00000307,Sophie Idrissi,Orange Maroc,Orange Max
ABN00000308,James Lazrak,Free Mobile,Free 5G
ABN00000309,Michel Brown,T-Mobile,Magenta Max
ABN00000310,Emily Dupont,SFR,SFR 80 Go
ABN00000311,Ashley Chraibi,Bouygues Telecom,B&YOU 100 Go
ABN00000312,Sophie Thomas,T-Mobile,Magenta
ABN00000313,Aïcha Moreau,Vodafone,Vodafone Unlimited
ABN00000314,Nora Sefrioui,Maroc Telecom,Jawal 100 Go
ABN00000315,Michel Simon,Orange Maroc,Orange Pro
ABN00000316,Mohammed Brown,Inwi,Inwi 60 Go
ABN00000317,Nicolas Thomas,Vodafone,Vodafone Red
ABN00000318,Jessica Miller,Vodafone,Vodafone Red
ABN00000319,Emily Petit,Free Mobile,Free 5G
ABN00000320,Youssef Smith,Orange France,Orange 5G 100 Go
ABN00000321,Julie Bernard,Inwi,Inwi Unlimited
ABN00000322,Jean Johnson,T-Mobile,Magenta Max
ABN00000323,Fatima Ouazzani,T-Mobile,Magenta Max
ABN00000324,Jean Alaoui,T-Mobile,Magenta
ABN00000325,Lisa Durand,Bouygues Telecom,B&YOU 100 Go
ABN00000326,Ahmed Jones,Inwi,Inwi 60 Go
ABN00000327,Ashley Johnson,Inwi,Inwi 30 Go
ABN00000328,Jean Bennani,T-Mobile,Magenta
ABN00000329,Nora Kettani,Vodafone,Vodafone Red
ABN00000330,Zineb Michel,SFR,SFR 80 Go
ABN00000331,Laurent Jones,Free Mobile,Free 5G
ABN00000332,Aïcha Fassi,T-Mobile,Magenta Max
ABN00000333,David Chraibi,T-Mobile,Magenta
ABN00000334,Emma Garcia,Bouygues Telecom,B&YOU 100 Go
ABN00000335,Laurent Leroy,SFR,SFR Power
ABN00000336,Hassan El Fassi,SFR,SFR 80 Go
ABN00000337,Omar Fassi,Orange Maroc,Orange Max
ABN00000338,Laurent Laurent,Orange Maroc,Orange Max
ABN00000339,Chloé Miller,Inwi,Inwi 60 Go
ABN00000340,Robert Dupont,Vodafone,Vodafone Red
ABN00000341,Emily El Amrani,SFR,SFR 80 Go
ABN00000342,Lisa Leroy,Bouygues Telecom,B&YOU 100 Go
ABN00000343,Robert Filali,Vodafone,Vodafone Red
ABN00000344,Khadija Laurent,Free Mobile,Free 2€
ABN00000345,Karim Martin,Maroc Telecom,Forfait Entreprise
ABN00000346,Fatima Williams,Orange Maroc,Orange 80 Go
ABN00000347,Karim Berrada,Orange Maroc,Orange Pro
ABN00000348,Sarah Williams,Bouygues Telecom,Sensation
ABN00000349,Nicolas Laurent,SFR,SFR Power
ABN00000350,Sofia Bennani,T-Mobile,Magenta
ABN00000351,Robert Dubois,SFR,SFR 80 Go
ABN00000352,Chloé El Amrani,Vodafone,Vodafone Unlimited
ABN00000353,Khadija Martin,SFR,SFR 80 Go
ABN00000354,Mohammed Filali,T-Mobile,Magenta
ABN00000355,Camille Idrissi,SFR,SFR 80 Go
ABN00000356,James Benjelloun,Bouygues Telecom,Sensation
ABN00000357,Camille Lazrak,Orange Maroc,Orange 40 Go
ABN00000358,Hassan Idrissi,Vodafone,Vodafone Unlimited
ABN00000359,Nicolas Bennani,Orange Maroc,Orange 40 Go
ABN00000360,Emma El Amrani,Vodafone,Vodafone Unlimited
ABN00000361,Youssef Tazi,Free Mobile,Free 2€
ABN00000362,Laurent Ouazzani,Inwi,Inwi 60 Go
ABN00000363,Michael Martin,Maroc Telecom,Forfait Entreprise
ABN00000364,Ahmed Garcia,Inwi,Inwi 60 Go
ABN00000365,Karim Durand,T-Mobile,Magenta Max
ABN00000366,Leila Jones,Orange Maroc,Orange Max
ABN00000367,Ahmed Simon,T-Mobile,Magenta
ABN00000368,David Johnson,T-Mobile,Magenta
ABN00000369,Lisa Durand,SFR,SFR 80 Go
ABN00000370,Emily Petit,Free Mobile,Free 5G
ABN00000371,Youssef Leroy,Orange Maroc,Orange 80 Go
ABN00000372,James Berrada,SFR,SFR 80 Go
ABN00000373,Jean Davis,Inwi,Inwi 60 Go
ABN00000374,Ahmed Davis,Orange Maroc,Orange Pro
ABN00000375,Thomas Berrada,Maroc Telecom,Jawal 100 Go
ABN00000376,Camille Bernard,Vodafone,Vodafone Unlimited
ABN00000377,John Berrada,T-Mobile,Magenta
ABN00000378,Jessica Moreau,Free Mobile,Free 5G
ABN00000379,Hassan Tazi,T-Mobile,Magenta
ABN00000380,Alexandre Richard,SFR,SFR Power
ABN00000381,Robert Michel,Orange Maroc,Orange Pro
ABN00000382,Fatima El Fassi,Bouygues Telecom,Sensation
ABN00000383,Sarah Berrada,Maroc Telecom,Jawal 50 Go
ABN00000384,Jean Davis,Orange Maroc,Orange Pro
ABN00000385,Camille Williams,Free Mobile,Free 2€
ABN00000386,Chloé Sefrioui,T-Mobile,Magenta Max
ABN00000387,Emily Simon,SFR,SFR 80 Go
ABN00000388,Sophie Idrissi,Orange France,Orange 5G Unlimited
ABN00000389,Jessica Idrissi,Maroc Telecom,Forfait Entreprise
ABN00000390,Sophie Dupont,Free Mobile,Free 2€
ABN00000391,Sophie Leroy,Vodafone,Vodafone Red
ABN00000392,Marie El Fassi,Orange France,Orange 5G 100 Go
ABN00000393,Michael Chraibi,Bouygues Telecom,B&YOU 100 Go
ABN00000394,Ali Smith,Free Mobile,Free 2€
ABN00000395,Mehdi Garcia,Inwi,Inwi Unlimited
ABN00000396,Laurent Leroy,Orange Maroc,Orange 80 Go
ABN00000397,Emily Laurent,Orange France,Orange 5G 100 Go
ABN00000398,Michael Berrada,T-Mobile,Magenta
ABN00000399,Mehdi Laurent,Orange France,Orange 5G Unlimited
ABN00000400,Fatima El Fassi,Orange France,Orange 5G Unlimited
ABN00000401,Ali Moreau,Inwi,Inwi 30 Go
ABN00000402,Léa Laurent,SFR,SFR 80 Go
ABN00000403,Sofia Jones,Orange France,Orange 5G Unlimited
ABN00000404,Pierre Tazi,Inwi,Inwi Unlimited
ABN00000405,Mohammed Garcia,Orange Maroc,Orange 40 Go
ABN00000406,Michael Durand,Vodafone,Vodafone Unlimited
ABN00000407,Marie Filali,Vodafone,Vodafone Unlimited
ABN00000408,David Dupont,SFR,SFR Power
ABN00000409,Mehdi Moreau,Orange Maroc,Orange Pro
ABN00000410,Hassan El Amrani,SFR,SFR Power
ABN00000411,Ahmed Dubois,T-Mobile,Magenta Max
ABN00000412,Leila Sefrioui,Maroc Telecom,Jawal 100 Go
ABN00000413,Julie Brown,T-Mobile,Magenta Max
ABN00000414,Sophie Benali,Vodafone,Vodafone Unlimited
ABN00000415,Ali Berrada,Maroc Telecom,Forfait Entreprise
ABN00000416,Michel Martin,Orange Maroc,Orange 80 Go
ABN00000417,Alexandre Garcia,T-Mobile,Magenta
ABN00000418,Ashley Fassi,Free Mobile,Free 2€
ABN00000419,Camille Dupont,T-Mobile,Magenta Max
ABN00000420,Sarah Filali,Free Mobile,Free 5G
ABN00000421,Léa Dubois,Maroc Telecom,Jawal 100 Go
ABN00000422,Lisa Garcia,Orange Maroc,Orange Pro
ABN00000423,John Benali,Maroc Telecom,Jawal 50 Go
ABN00000424,Karim Lefebvre,Maroc Telecom,Jawal 50 Go
ABN00000425,Emma Robert,Bouygues Telecom,Sensation
ABN00000426,Ashley Miller,Orange Maroc,Orange Max
ABN00000427,Emily Davis,Inwi,Inwi Unlimited
ABN00000428,Aïcha Ouazzani,Free Mobile,Free 2€
ABN00000429,Robert Michel,T-Mobile,Magenta Max
ABN00000430,Nora Fassi,Vodafone,Vodafone Unlimited
ABN00000431,Léa Dubois,Bouygues Telecom,B&YOU 100 Go
ABN00000432,Julie Kettani,Orange France,Orange 5G Unlimited
ABN00000433,Sophie Leroy,Inwi,Inwi Unlimited
ABN00000434,Leila Lazrak,Orange Maroc,Orange 80 Go
ABN00000435,Nora Richard,T-Mobile,Magenta
ABN00000436,Pierre Brown,Vodafone,Vodafone Red
ABN00000437,Sarah Martin,Free Mobile,Free 5G
ABN00000438,Pierre Robert,SFR,SFR Power
ABN00000439,Ahmed Simon,Inwi,Inwi Unlimited
ABN00000440,Nicolas Filali,Maroc Telecom,Jawal Illimité
ABN00000441,Nora Lefebvre,SFR,SFR 80 Go
ABN00000442,Camille Dubois,SFR,SFR Power
ABN00000443,Léa Dubois,Vodafone,Vodafone Unlimited
ABN00000444,Sarah Brown,SFR,SFR Power
ABN00000445,Jessica Benali,Orange Maroc,Orange Pro
ABN00000446,Aïcha Miller,Inwi,Inwi Unlimited
ABN00000447,Nora El Amrani,Orange Maroc,Orange Pro
ABN00000448,Michel Filali,Maroc Telecom,Jawal Illimité
ABN00000449,Emma Fassi,Orange France,Orange 5G Unlimited
ABN00000450,Chloé Richard,Orange Maroc,Orange Max
ABN00000451,James Tazi,Free Mobile,Free 2€
ABN00000452,Leila Miller,T-Mobile,Magenta Max
ABN00000453,Fatima Miller,Free Mobile,Free 2€
ABN00000454,David Simon,Orange Maroc,Orange Max
ABN00000455,James Tazi,Maroc Telecom,Forfait Entreprise
ABN00000456,Nora Brown,Bouygues Telecom,B&YOU 100 Go
